id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
ykomurudycc9m380s5xhcagp,APPROVED,2021-01-16T16:19:41Z,2021-01-16T16:27:20Z,458.515,45,809,3,100,2021-01-17T01:27:23Z,684BBD13,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
sy3ambvfjmd3j2dfbmo75bm4,APPROVED,2021-01-16T16:19:44Z,2021-01-16T16:25:23Z,339.438,37,404,0,100,2021-01-17T01:27:25Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Female,No
zhp4kpbup1hgrzf0118rsf4e,APPROVED,2021-01-16T16:19:45Z,2021-01-16T16:22:52Z,186.202,33,41,0,100,2021-01-17T01:27:29Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Female,No
lrx9u9ra5cgokwrblobni6l3,APPROVED,2021-01-16T16:20:20Z,2021-01-16T16:29:28Z,547.608,33,36,0,100,2021-01-17T01:27:29Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
wb8g0y6ym02hz87uefmds4ad,APPROVED,2021-01-16T16:20:12Z,2021-01-16T16:28:43Z,511.035,30,178,1,100,2021-01-17T01:27:32Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
zvadocxfrdwh30du4pk9nx79,APPROVED,2021-01-16T16:20:15Z,2021-01-16T16:23:49Z,213.25,61,624,1,100,2021-01-17T01:27:32Z,684BBD13,United States,United States,Part-Time,White,English,United States,Female,No
ylvqpco0fcugcyodcc3uije7,APPROVED,2021-01-16T16:20:02Z,2021-01-16T16:25:31Z,329.07,52,779,3,99,2021-01-17T01:27:36Z,684BBD13,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
blgpqv086ft38710gogrqhmt,APPROVED,2021-01-16T16:20:13Z,2021-01-16T16:24:14Z,241.583,27,648,1,100,2021-01-17T01:27:38Z,684BBD13,United States,United States,Full-Time,White,English,United States,Female,No
mrw2csz7765objtolqzpct28,APPROVED,2021-01-16T16:20:29Z,2021-01-16T16:33:46Z,797.64,19,27,0,100,2021-01-17T01:27:42Z,684BBD13,United States,United States,Other,White,DATA EXPIRED,United States,Female,Yes
vxsolrg9lgc6lhid12ahdbw6,APPROVED,2021-01-16T16:20:17Z,2021-01-16T16:24:58Z,280.908,19,70,0,100,2021-01-17T01:27:41Z,684BBD13,United States,United States,Unemployed (and job seeking),White,DATA EXPIRED,United States,Male,Yes
hdqvp94x5o9kgsv6deytevgy,APPROVED,2021-01-16T16:20:14Z,2021-01-16T16:23:24Z,189.952,39,223,0,100,2021-01-17T01:27:44Z,684BBD13,United States,United States,Unemployed (and job seeking),White,DATA EXPIRED,United States,Male,No
k0g5ttxog4buuivpmbffjeto,APPROVED,2021-01-16T16:20:25Z,2021-01-16T16:24:00Z,214.884,23,1416,5,99,2021-01-17T01:27:46Z,684BBD13,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
55hbpd9zo8e2gz93tefbauuz,APPROVED,2021-01-16T16:20:35Z,2021-01-16T16:25:29Z,293.852,70,951,3,100,2021-01-17T01:27:48Z,684BBD13,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
8v4bb56rpzviixu3nzxe3qfy,APPROVED,2021-01-16T16:20:37Z,2021-01-16T16:27:43Z,425.388,77,1681,2,100,2021-01-17T01:27:53Z,684BBD13,United States,United States,Full-Time,White,English,United States,Male,No
hsjnpwy1lo9uq86omuobhmkj,APPROVED,2021-01-16T16:20:40Z,2021-01-16T16:26:00Z,319.089,62,249,2,100,2021-01-17T01:28:01Z,684BBD13,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,DATA EXPIRED,United States,Female,No
7383hwvsjjwt4grfkw4pcvb2,APPROVED,2021-01-16T16:20:47Z,2021-01-16T16:24:18Z,211.42,19,1181,17,96,2021-01-17T01:27:54Z,684BBD13,United States,United States,Part-Time,White,English,United States,Male,Yes
ip0rcmlh34co6oxajc43nsyb,APPROVED,2021-01-16T16:20:36Z,2021-01-16T16:25:12Z,276.042,22,100,0,100,2021-01-17T01:28:02Z,684BBD13,United States,United States,Part-Time,White,DATA EXPIRED,United States,Male,Yes
4ah5tpqh9mcuek5sswvt0eie,APPROVED,2021-01-16T16:20:37Z,2021-01-16T16:25:22Z,284.175,49,606,3,100,2021-01-17T01:28:05Z,684BBD13,United States,United States,Unemployed (and job seeking),White,English,United States,Male,No
