id,observers,protesters,protest,age,gender,exclude,q5,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q12_7,q12_8,q12_9,q12_10,q12_11,q12_12,q12_13,q12_14,q12_15,q12_16,q12_17,q12_18,q12_19,q12_20,q12_21,q12_22,q12_23,q12_24,q12_25,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,sjb_1,sjb_2,sjb_3,sjb_4,sjb_5,sjb_6,sjb_7,sjb_8,q14,q15,q16,q17,q18,q19_1,q21,attention_check_1,attention_check_2,attention_check_3
w0ne2rafstxqqa9yoi7dbggc,Black,Black,for,28,man,FALSE,5,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,4,2,7,4,5,4,6,2,4,2,1,4,5,4,2,2,7,7,7,5,1,3,2,2,1,1
w0w2by43r4hjrprn9svivw8v,White,Black,for,42,man,FALSE,2,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,5,6,3,5,5,6,2,5,5,6,5,5,5,6,6,5,4,3,5,1,3,3,1,2,1,1
w19s76ehn83msnq8zyzpu011,White,White,against,58,man,FALSE,5,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2,1,1,1,1,2,5,1,2,1,7,1,1,4,5,1,3,2,1,2,2,2
w1ieaf2x60nwo1pcbzz1jvs0,Black,White,for,35,man,FALSE,3,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,6,4,6,6,5,4,3,3,2,4,6,6,3,4,6,4,6,2,3,4,2,2,1,2
w1t21rvo007fz07nvfquykla,White,Black,against,26,man,TRUE,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,4,4,5,4,4,3,3,4,4,4,3,4,4,3,5,4,7,4,5,2,3,4,1,2,1,1
w26o4jb3k14ep8p1c32jmn2c,White,White,against,60,woman,FALSE,2,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,6,6,4,4,3,4,4,6,6,6,4,4,3,7,4,7,2,3,4,1,2,2,2
w29kfeunm4bzahr4loqax0e4,White,White,for,51,woman,FALSE,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,5,2,4,4,6,7,4,5,5,6,4,4,6,1,4,4,1,7,1,3,6,1,2,1,2
w38awkdmzed9jhmdcngxqogf,White,White,for,34,man,FALSE,4,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,6,6,3,7,6,5,2,5,6,6,5,7,6,5,6,5,2,6,7,2,3,3,1,2,1,2
w3uhf8r0i1eems33edlod1gl,White,White,against,31,woman,FALSE,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,6,6,5,3,5,6,6,6,6,6,3,3,5,6,2,6,7,7,7,1,3,7,1,2,2,2
w475j2uhceldgh3o86ukv73l,White,Black,for,49,woman,TRUE,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,NA,7,2,7,7,7,7,7,NA,7,6,7,7,7,1,7,5,7,7,5,1,7,1,2,1,2
w4ak4mcg7vvap57i0pz0pn7c,Black,White,for,26,woman,FALSE,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,7,1,2,2,4,2,2,1,1,1,2,2,4,2,7,7,7,2,3,1,2,2,1,2
w4cmusrc0w8dls5120gozb3c,Black,Black,for,52,woman,FALSE,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,6,4,4,2,6,2,2,2,2,4,4,2,2,2,6,1,5,1,3,4,2,2,1,1
w4syy004innz4z6us3khco9f,Black,Black,against,28,woman,FALSE,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,5,6,4,3,5,4,2,2,3,6,4,3,3,4,6,5,5,2,3,3,2,2,2,1
w4zp8q2qobc1908x3efd5m36,White,Black,for,29,woman,FALSE,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,7,1,1,1,6,1,1,1,1,1,1,1,2,1,7,6,4,2,3,2,1,2,1,1
w506siiqaktmkwa2v1966myz,Black,Black,against,18,man,FALSE,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,4,5,3,1,7,3,1,2,4,5,3,1,1,3,5,4,7,1,3,7,2,2,2,1
w53trfzmg3wweqdlx3r57rrf,White,Black,for,31,woman,FALSE,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,2,2,7,1,2,1,4,2,2,2,1,1,2,1,4,2,7,4,4,2,1,1,1,2,1,1
w73lm780pcgf2s41affn1btv,White,White,against,47,man,FALSE,5,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,6,1,2,2,3,2,2,2,2,1,2,2,5,2,5,5,4,2,1,3,1,2,2,2
w8dndur2f5y8a1s0axt8t9v0,Black,White,against,26,man,FALSE,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,3,5,5,4,2,3,3,3,3,3,5,4,2,5,3,6,6,7,3,3,2,2,2,2,2
w8dqv12i2gvmodxwxlemo3uu,White,White,against,23,woman,FALSE,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,5,5,4,4,5,4,4,5,5,5,4,4,5,4,4,5,5,3,3,1,3,6,1,2,2,2
w96pzrv318ayghvqhba2w38i,Black,White,for,33,man,FALSE,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,5,5,1,3,5,1,6,5,5,5,7,3,5,1,2,5,2,1,5,1,3,6,2,2,1,2
w9p0tszeykzidefllu9mbvo5,White,Black,against,58,woman,FALSE,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,5,5,2,7,5,5,5,5,5,5,6,7,5,5,3,5,1,6,7,1,3,6,1,2,2,1
wb8g0y6ym02hz87uefmds4ad,White,White,against,30,man,FALSE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,7,4,5,3,6,5,5,2,7,4,5,5,6,7,3,7,4,3,1,1,2,2,2
wc9vymv8dqzrl11sts1261vs,White,White,against,40,man,FALSE,2,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,5,5,2,7,6,5,7,4,5,5,6,7,6,5,1,4,5,1,6,1,3,6,1,2,2,2
wcy6awmdkh5gy7i9emphw522,Black,White,for,20,man,FALSE,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7,1,1,1,7,1,1,1,1,1,1,1,1,1,7,7,7,1,3,2,2,2,1,2
we18sg1prjcwr65epc33wtjb,White,Black,for,59,woman,FALSE,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5,5,3,5,4,5,5,5,5,5,5,5,4,5,3,5,5,1,7,2,3,7,1,2,1,1
wfrl2vsjw68v038x5el6czy0,Black,Black,against,34,woman,FALSE,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,2,5,1,1,1,5,1,2,2,3,1,1,1,3,1,6,4,4,1,3,2,2,2,2,1
wgthuw0jw8i48nkonj4l2xd0,Black,White,against,24,woman,FALSE,5,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,1,7,2,2,1,7,1,2,1,1,2,2,1,1,1,7,7,7,1,3,1,2,2,2,2
whjoqoacjwcga14fqjpwr5im,White,Black,for,45,woman,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,3,5,5,6,5,2,5,2,3,5,3,6,5,2,3,2,2,1,7,1,3,4,1,2,1,1
whp1o6ile87iqzansc99manu,White,White,for,69,man,FALSE,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,3,5,1,7,4,6,5,4,3,5,7,7,4,6,3,4,5,2,5,2,3,6,1,2,1,2
wjr015du4mdtkefjhsejbhzw,Black,White,for,49,woman,FALSE,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,7,7,2,1,4,2,1,1,1,7,2,1,4,2,7,4,7,1,3,1,2,2,1,2
wjysesy5yx5sanad274kksgr,White,Black,against,32,woman,TRUE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,1,3,1,1,2,1,1
