id,sample,action,assigned,q1_1,q1_2,q1_3,q2,q3,action_text
3,with_degree,56,0,NA,NA,NA,NA,NA,mock or insult individuals who oppose the cause
3,with_degree,57,1,3,3,3,1,4,"soil politicians who oppose the cause (e.g., throwing eggs at them)"
3,with_degree,58,0,NA,NA,NA,NA,NA,threaten politicians who oppose the cause with physical harm
3,with_degree,59,0,NA,NA,NA,NA,NA,threaten individuals who oppose the cause with physical harm
3,with_degree,60,0,NA,NA,NA,NA,NA,"threaten to attack members of the public (e.g., by making a bomb threat)"
3,with_degree,61,0,NA,NA,NA,NA,NA,"bribe politicians, representatives, and other elected officials"
3,with_degree,62,0,NA,NA,NA,NA,NA,blackmail politicians who oppose the cause
3,with_degree,63,0,NA,NA,NA,NA,NA,blackmail individuals who oppose the cause
3,with_degree,64,0,NA,NA,NA,NA,NA,refuse to eat (hunger strike)
3,with_degree,65,1,4,4,4,1,5,"physically harm oneself (e.g., setting oneself on fire)"
3,with_degree,66,1,3,4,4,1,5,"attack politicians with the intention of harming them (e.g., punching them)"
3,with_degree,67,1,4,4,4,1,5,"attack politicians with the intention of killing them (e.g., stabbing them)"
3,with_degree,68,0,NA,NA,NA,NA,NA,"attack police officers and other government agents with the intention of harming them (e.g., punching them)"
3,with_degree,69,1,4,4,4,1,5,"attack police officers and other government agents with the intention of killing them (e.g., stabbing them)"
3,with_degree,70,0,NA,NA,NA,NA,NA,"attack individuals who oppose the cause with the intention of harming them (e.g., punching them)"
3,with_degree,71,0,NA,NA,NA,NA,NA,"attack individuals who oppose the cause with the intention of killing them (e.g., stabbing them)"
3,with_degree,72,0,NA,NA,NA,NA,NA,"attack members of the public (e.g., by setting off a bomb in a public place)"
4,with_degree,1,0,NA,NA,NA,NA,NA,sign or start a petition
4,with_degree,2,0,NA,NA,NA,NA,NA,"hand out flyers, leaflets, or pamphlets"
4,with_degree,3,0,NA,NA,NA,NA,NA,paste up posters with political messages in places where it is allowed and encouraged
4,with_degree,4,1,1,1,1,5,2,hold meetings to inform the public
4,with_degree,5,0,NA,NA,NA,NA,NA,hold meetings to influence the public
4,with_degree,6,1,2,1,1,4,2,make a public speech
4,with_degree,7,0,NA,NA,NA,NA,NA,"get involved in the media (e.g., newspapers, radio, television) to inform the public"
4,with_degree,8,1,2,1,2,4,3,"get involved in the media (e.g., newspapers, radio, television) to influence the public"
4,with_degree,9,0,NA,NA,NA,NA,NA,"use social media (e.g., Facebook, Twitter, Instagram) to inform the public"
4,with_degree,10,1,2,1,2,3,3,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public"
4,with_degree,11,0,NA,NA,NA,NA,NA,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion"
4,with_degree,12,0,NA,NA,NA,NA,NA,"pay for adverts in the media (e.g., newspapers, radio, television) to influence public opinion"
4,with_degree,13,1,3,1,1,3,4,"visit people in their homes to inform them about an issue (canvassing, door knocking)"
4,with_degree,14,0,NA,NA,NA,NA,NA,"visit people in their homes to convince them about an issue (canvassing, door knocking)"
4,with_degree,15,0,NA,NA,NA,NA,NA,spread misinformation to influence public opinion
4,with_degree,16,0,NA,NA,NA,NA,NA,spread rumours about politicians who oppose the cause
4,with_degree,17,0,NA,NA,NA,NA,NA,wear or display political symbols
4,with_degree,18,1,1,1,2,3,3,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem)"
4,with_degree,19,0,NA,NA,NA,NA,NA,deface flags or other national symbols
4,with_degree,20,0,NA,NA,NA,NA,NA,attend or organise a protest march
4,with_degree,21,1,3,1,3,4,1,attend or organise a protest rally
4,with_degree,22,0,NA,NA,NA,NA,NA,"stand or sit in a building and refuse to leave (stand-in, sit-in)"
4,with_degree,23,0,NA,NA,NA,NA,NA,enter and refuse to leave a building (occupation)
4,with_degree,24,0,NA,NA,NA,NA,NA,join or form a trade/labor union
4,with_degree,25,0,NA,NA,NA,NA,NA,join or form a group of activists
4,with_degree,26,0,NA,NA,NA,NA,NA,join or form a political party
4,with_degree,27,0,NA,NA,NA,NA,NA,donate to political parties who support the cause
4,with_degree,28,0,NA,NA,NA,NA,NA,donate to political parties to make them change their position on an issue
4,with_degree,29,0,NA,NA,NA,NA,NA,donate to activist groups who support the cause
4,with_degree,30,1,1,1,1,5,1,donate to charities who support the cause
4,with_degree,31,0,NA,NA,NA,NA,NA,voting for candidates/parties
4,with_degree,32,0,NA,NA,NA,NA,NA,"write letters to politicians, representatives and elected officials"
4,with_degree,33,0,NA,NA,NA,NA,NA,stand in an election
4,with_degree,34,0,NA,NA,NA,NA,NA,boycott an election by not voting or spoiling one's ballot
4,with_degree,35,0,NA,NA,NA,NA,NA,participate in a public meeting of representatives and elected officials
4,with_degree,36,0,NA,NA,NA,NA,NA,"refuse to pay fees, fines, and taxes"
4,with_degree,37,1,3,1,2,3,3,refuse to cooperate with the police and other government agencies
4,with_degree,38,1,4,1,2,4,2,refuse to work (strike)
4,with_degree,39,0,NA,NA,NA,NA,NA,refuse to pay rent (rent strike)
4,with_degree,40,1,3,2,3,1,5,"refuse service (e.g., in a restaurant or shop) to individuals who oppose the cause"
4,with_degree,41,0,NA,NA,NA,NA,NA,"refuse service (e.g., in a restaurant or shop) to politicians who oppose the cause"
4,with_degree,42,0,NA,NA,NA,NA,NA,refuse to interact with or acknowledge individuals who oppose the cause
4,with_degree,43,1,3,1,2,3,3,refuse to interact with or acknowledge politicians who oppose the cause
4,with_degree,44,0,NA,NA,NA,NA,NA,do not buy goods or services from companies who oppose the cause (consumers' boycott)
4,with_degree,45,1,3,1,1,4,2,refuse to accept honours or awards in protest
4,with_degree,46,0,NA,NA,NA,NA,NA,"disrupt traffic (e.g., blocking roads)"
4,with_degree,47,0,NA,NA,NA,NA,NA,"disrupt public services (e.g., shutting down government websites)"
4,with_degree,48,0,NA,NA,NA,NA,NA,"disrupt private life of politicians (e.g., protesting outside their home)"
4,with_degree,49,0,NA,NA,NA,NA,NA,"disrupt public events (e.g., a sports game) with a political message"
4,with_degree,50,0,NA,NA,NA,NA,NA,paste up posters with political messages in places where it is not allowed or encouraged
4,with_degree,51,0,NA,NA,NA,NA,NA,spray paint political messages in public places
4,with_degree,52,0,NA,NA,NA,NA,NA,"damage private property (e.g., cars or houses)"
4,with_degree,53,0,NA,NA,NA,NA,NA,"damage commerical property (e.g., shop windows)"
4,with_degree,54,0,NA,NA,NA,NA,NA,"damage public property (e.g., goverment buildings)"
4,with_degree,55,0,NA,NA,NA,NA,NA,mock or insult politicians who oppose the cause
4,with_degree,56,1,4,2,3,1,5,mock or insult individuals who oppose the cause
4,with_degree,57,0,NA,NA,NA,NA,NA,"soil politicians who oppose the cause (e.g., throwing eggs at them)"
4,with_degree,58,0,NA,NA,NA,NA,NA,threaten politicians who oppose the cause with physical harm
4,with_degree,59,1,4,4,4,1,5,threaten individuals who oppose the cause with physical harm
4,with_degree,60,0,NA,NA,NA,NA,NA,"threaten to attack members of the public (e.g., by making a bomb threat)"
4,with_degree,61,0,NA,NA,NA,NA,NA,"bribe politicians, representatives, and other elected officials"
4,with_degree,62,0,NA,NA,NA,NA,NA,blackmail politicians who oppose the cause
4,with_degree,63,1,4,3,4,1,5,blackmail individuals who oppose the cause
4,with_degree,64,1,2,1,4,3,2,refuse to eat (hunger strike)
4,with_degree,65,1,4,2,4,2,4,"physically harm oneself (e.g., setting oneself on fire)"
4,with_degree,66,0,NA,NA,NA,NA,NA,"attack politicians with the intention of harming them (e.g., punching them)"
4,with_degree,67,1,4,4,4,1,5,"attack politicians with the intention of killing them (e.g., stabbing them)"
4,with_degree,68,0,NA,NA,NA,NA,NA,"attack police officers and other government agents with the intention of harming them (e.g., punching them)"
4,with_degree,69,1,4,4,4,1,5,"attack police officers and other government agents with the intention of killing them (e.g., stabbing them)"
4,with_degree,70,0,NA,NA,NA,NA,NA,"attack individuals who oppose the cause with the intention of harming them (e.g., punching them)"
4,with_degree,71,0,NA,NA,NA,NA,NA,"attack individuals who oppose the cause with the intention of killing them (e.g., stabbing them)"
4,with_degree,72,0,NA,NA,NA,NA,NA,"attack members of the public (e.g., by setting off a bomb in a public place)"
5,with_degree,1,1,1,1,1,5,1,sign or start a petition
5,with_degree,2,0,NA,NA,NA,NA,NA,"hand out flyers, leaflets, or pamphlets"
5,with_degree,3,0,NA,NA,NA,NA,NA,paste up posters with political messages in places where it is allowed and encouraged
