id,sample,gender,q2,q3,q4,q4_1_text,q5,q6,q8,q9,q10,q12_1,q12_2,q12_3,q13_1,q13_2,q13_3,exclude
rlh2no5dwjbmcucwgderkkfb,PJ,female,female,64,0,NA,0,0,2,NA,3,7,7,6,1,1,1,TRUE
oz91e7lw4olkdgu76sl3nzv4,WJ,female,Female,43,0,NA,0,0,2,NA,4,3,3,2,4,4,3,TRUE
7kvzt2bjmpip3rj19rvm335q,WJ,male,Male,41,0,NA,0,0,1,NA,2,2,1,1,4,6,4,TRUE
jixyn0sbtb2syyu0ofjujksc,WJ,female,female,27,0,NA,0,0,2,NA,1,6,7,4,3,3,4,TRUE
79dqgub4ham8bd1u5sfozd8i,PJ,male,Male,66,0,NA,0,0,2,NA,5,7,6,7,1,1,2,TRUE
nb8zwo09lr3awzv1uur2b1qw,WJ,male,Male,54,1,Scottish,0,0,1,NA,3,4,6,2,6,6,4,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,female,Female,26,0,NA,0,1,NA,1,2,4,4,3,4,4,5,TRUE
lozg9j6lzu2iir6lus4xiaiu,WJ,male,male,46,0,NA,0,1,NA,1,4,4,4,4,4,4,4,TRUE
pbtceiu61hrvmygetjcft70s,WJ,female,Female,27,0,NA,0,0,3,NA,4,5,4,3,5,4,2,TRUE
md1faxnf4arlac0vsslligw4,PJ,male,Male,31,0,NA,0,1,NA,2,3,7,7,3,6,3,2,TRUE
6qblo848b4g1mzixbgslw1x6,WJ,female,Female,32,0,NA,0,1,NA,1,4,3,4,3,3,4,4,TRUE
3vsinn3p5mswq4pkmodw3w3f,PJ,male,Male,33,0,NA,0,1,NA,2,4,5,2,6,2,2,2,TRUE
15guq6xxfxwlfcnj8iedv5ug,PJ,female,Female,60,0,NA,0,1,NA,2,5,4,4,3,2,2,2,TRUE
baj8fj7xewy0hu02pduekg89,PJ,male,Male,34,0,NA,0,1,NA,2,5,3,4,3,4,3,3,TRUE
94kn7ze3o66qacrjvm38xiuk,PJ,female,Female,37,1,Welsh,0,1,NA,2,3,5,6,2,5,3,5,FALSE
34zhiwyvwrgl86mhlt73h64o,PJ,male,Male,34,0,NA,0,1,NA,2,6,6,5,5,2,2,2,TRUE
b4r3buj9rod7slurxy400jot,PJ,female,Female,41,0,NA,0,1,NA,2,4,5,7,3,3,1,2,TRUE
0vqa99x3yb8fiyp8wg29pl9d,WJ,female,female,54,0,NA,0,1,NA,1,4,2,2,2,7,7,7,TRUE
61e8uipjmeh8l2uyedvj4owd,PJ,male,Male,41,0,NA,0,1,NA,2,4,5,6,4,2,1,2,TRUE
vj6y5y0ewcn66dl9yiyocrwk,PJ,female,Female,46,0,NA,0,1,NA,1,5,5,6,2,4,5,2,TRUE
aqd5vg27yloc7cijengesq5l,PJ,female,Female,43,0,NA,0,1,NA,2,1,2,4,2,6,6,4,TRUE
dnhrlmwte0jo6chbl858tnjj,PJ,female,Female,35,0,NA,0,1,NA,2,6,4,5,4,3,3,3,TRUE
aj7s6726dvo9eqlu042hlxo2,WJ,female,female,28,0,NA,0,0,1,NA,4,3,3,3,5,5,5,TRUE
az521hwig16gyvkpsohh7ilr,WJ,female,female,48,0,NA,0,1,NA,1,1,3,2,2,5,5,5,TRUE
ev5qnymv2o400aa5i06wy7b2,WJ,male,Male,47,0,NA,0,1,NA,1,4,5,6,3,5,5,3,TRUE
rc6owyfx37obshlj5dsnzatv,PJ,male,Male,33,0,NA,0,1,NA,2,3,6,7,5,5,4,4,TRUE
oa5oixc57jqmj44tk0cf91ju,WJ,male,Male,26,0,NA,0,0,1,NA,3,4,5,3,5,5,3,TRUE
4y38bwubsnxalrgpoempf3u6,PJ,male,Male,40,0,NA,0,1,NA,1,2,1,2,1,5,6,7,TRUE
emszk3jm1c8p1gcgflesm966,WJ,male,Male,60,0,NA,0,1,NA,1,6,5,5,3,5,5,3,TRUE
2jpxmcmnct1ntslgmc7iy4ek,PJ,male,Male,34,0,NA,0,1,NA,2,7,6,7,6,5,3,2,TRUE
7srhp369t8xzvqafdvquav24,PJ,female,Female,25,0,NA,0,1,NA,1,4,4,4,4,4,4,4,TRUE
65clufuek5hozocl6kxkq75m,PJ,female,Female,30,0,NA,0,1,NA,2,2,5,5,3,4,5,5,TRUE
c30xqymnkxpmf2iabp256qaj,WJ,male,Male,61,0,NA,0,0,1,NA,2,6,6,6,6,6,6,TRUE
s7vl3ju2d12kese82jich4mk,PJ,female,Female,31,0,NA,0,1,NA,2,4,6,6,4,5,3,3,TRUE
yz2xha777tewxcumhuh1gdfp,WJ,male,Male,26,0,NA,0,0,1,NA,3,6,6,3,6,6,6,TRUE
kx47edv4mijrqw429mkk1ll7,PJ,male,Male,49,0,NA,0,0,2,NA,5,6,6,2,6,2,2,TRUE
cf8nsnrhhjkq7lexy9wm86cn,PJ,male,male,43,0,NA,0,1,NA,2,5,3,3,3,3,3,3,TRUE
as5cq7es30whl80p9n0tdyvr,PJ,male,Male,46,0,NA,0,1,NA,2,1,7,7,1,7,7,4,TRUE
ee8qawjoq56i3lvegttk1qez,WJ,female,Female,30,0,NA,0,0,1,NA,4,4,4,4,4,4,4,TRUE
icrvromvum5k3pqbwr86qggu,WJ,female,Female,35,0,NA,0,1,NA,1,4,4,4,3,6,6,7,TRUE
h5bzfrapzlipuezdni92p7cy,PJ,female,female,38,0,NA,0,0,2,NA,4,5,5,4,3,3,3,TRUE
lnyv6d7j0s8lwxt1d4hcy5qc,PJ,male,Male,38,0,NA,0,1,NA,2,5,7,7,7,3,2,1,TRUE
kuh4rbwwwi93p0n15whxsxjv,WJ,female,Female,28,0,NA,0,1,NA,1,4,3,5,4,6,6,4,TRUE
qx6ma4fvyykfxo751xhaz62k,PJ,male,Male,39,0,NA,0,1,NA,2,3,5,6,2,2,2,3,TRUE
36vah0gkeq8eups9dmmxfru6,PJ,male,male,76,0,NA,0,0,2,NA,2,5,7,4,5,4,5,TRUE
pm18raba4frpl9au5nsiqju8,PJ,male,Male,64,0,NA,0,0,2,NA,5,4,4,4,3,3,3,TRUE
y7wjm6ixeikzl51flo6il8wt,PJ,male,Male,70,0,NA,0,0,2,NA,4,7,7,7,1,2,1,TRUE
4ehm3s9lhq8xip7ttzsy6g8t,PJ,female,Female,32,0,NA,0,1,NA,2,4,3,4,4,2,3,2,TRUE
6ni122uc9wt2gsfnfcgrhf7w,PJ,male,Male,39,0,NA,0,1,NA,2,3,4,6,4,4,4,4,TRUE
2faoa5j153nrmbokzg1f3ani,PJ,female,Female,31,0,NA,0,1,NA,2,2,3,5,3,2,2,2,TRUE
kggcd1as632e92dfgu3uyxeo,WJ,male,male,55,0,NA,0,1,NA,1,2,4,4,3,5,5,5,TRUE
g436dj7ig3rp9rh4qs5lgj6m,PJ,female,Female,44,0,NA,0,1,NA,2,3,5,5,5,4,4,4,TRUE
094k8qixj49yhbxp84poolww,WJ,female,Female,52,0,NA,0,1,NA,1,5,4,4,4,4,4,4,TRUE
9kh7zv6182kdure7z6ixs2dd,WJ,female,Female,35,0,NA,0,0,1,NA,4,4,4,2,5,7,2,TRUE
9lvamaj1wi8q3woomh7r0p80,WJ,male,Male,40,0,NA,0,1,NA,1,4,6,6,4,6,6,6,TRUE
106qg71jzjkrlysxilc6vqha,PJ,female,Female,28,0,NA,0,1,NA,2,3,7,7,7,2,1,1,TRUE
ri2plra2d7y2j1uojrv578gr,PJ,female,Female,29,0,NA,0,1,NA,2,6,5,5,4,2,1,1,TRUE
gp822fstq9mclnjetink1dky,PJ,female,female,43,0,NA,0,1,NA,2,7,6,7,7,1,1,1,TRUE
7mk1pzrdo2qa6mukpcwwl32c,WJ,male,Male,34,0,NA,0,1,NA,1,2,4,7,2,4,7,5,TRUE
03arxj1hkreuqy5vlg9f50so,WJ,female,Female,52,0,NA,0,0,1,NA,3,4,4,2,4,4,4,TRUE
44kil0xirunqbl18cyfuzp9w,WJ,female,Female,25,0,NA,0,1,NA,1,2,6,3,3,7,7,7,TRUE
7m7ghxoialhdx871x684f0z7,PJ,male,Male,31,0,NA,0,1,NA,3,6,4,4,4,4,4,4,TRUE
63p0nds0wrwir3adpkoqp54x,PJ,female,female,33,0,NA,0,1,NA,1,5,2,3,2,2,3,4,TRUE
lospillsd3pm79fo2jinpj7v,PJ,male,Male,52,0,NA,0,1,NA,2,4,6,6,2,6,2,3,TRUE
cmnnfdeuy7vl8uhj57vyq96i,WJ,female,Female,58,0,NA,0,1,NA,2,2,4,4,3,4,4,3,TRUE
h0exb59upsvw9i53r5pgti7x,WJ,male,male,64,0,NA,0,1,NA,1,6,7,3,3,7,7,7,TRUE
2qo2wijakyzudnyfjnsqyh5o,PJ,female,Female,26,0,NA,0,1,NA,2,2,6,7,4,2,2,2,TRUE
ufroqg8htw9o6u8wprhlqn5y,WJ,male,male,39,0,NA,0,1,NA,1,4,2,4,2,5,5,5,TRUE
b6tl0u3nk4j1olshphaxu7qg,WJ,female,female,48,0,NA,0,1,NA,1,4,6,3,1,7,7,4,TRUE
eoq35sn1s4uvom85bzv2h65h,PJ,male,male,66,0,NA,0,0,2,NA,5,4,4,4,4,4,4,TRUE
yto7qxtnpwk4oq1von7haq8r,PJ,male,Male,59,0,NA,0,1,NA,2,1,4,4,3,4,3,3,TRUE
zgdschua32zi2cyaqw25uvw1,PJ,female,Female,36,0,NA,0,1,NA,2,2,5,5,2,5,5,3,TRUE
b502ooejox171qxvtsdkahrp,PJ,male,male,60,0,NA,0,1,NA,2,4,7,7,7,4,4,4,TRUE
1pvwcrdgnz1zojsgqwzk4yp0,PJ,male,Male,42,0,NA,0,1,NA,2,5,5,6,5,2,1,1,TRUE
qx0ud3p560ztxg7t2p2bshm5,PJ,male,male,42,0,NA,0,1,NA,2,4,4,4,4,4,4,4,TRUE
o3gwpxd7nxowy0v3x0hp8zaw,PJ,female,Female,34,0,NA,0,1,NA,2,4,6,7,5,3,1,3,TRUE
n7x2xphbf3j5t8ckg2uc80au,PJ,female,Female,32,0,NA,0,1,NA,2,5,6,6,3,3,2,2,TRUE
g2fsnh12a142izsixrx4q329,PJ,male,Male,50,0,NA,1,1,NA,2,3,5,NA,3,2,NA,3,TRUE
7s84mkwopzal1mv9he7iyhn4,PJ,male,male,26,0,NA,0,1,NA,2,1,4,4,2,4,2,3,TRUE
ofj0xbikqo3g17a3mqs6aog4,PJ,female,Female,33,0,NA,0,1,NA,2,4,3,5,4,3,3,3,TRUE
lule1texjp64spog919sdinh,PJ,female,female,28,0,NA,0,1,NA,2,2,3,6,2,4,3,3,TRUE
caqnv74lqt49mv3e9tmf2ro5,PJ,female,Female,35,0,NA,0,1,NA,2,3,3,6,1,3,4,3,TRUE
04gmkmjnzppyz39jdhjur850,PJ,male,Male,41,0,NA,0,1,NA,3,4,7,7,3,7,7,3,TRUE
jmxbpq4chu9m1xrytkppthw8,PJ,female,Female,25,0,NA,0,1,NA,2,3,6,6,4,3,4,3,TRUE
2fb7qsg10csy9ywy7y4d73xe,PJ,female,Female,50,0,NA,0,0,2,NA,4,3,3,3,3,3,3,TRUE
9suyes4r7jsle3xc2h19m2bu,PJ,male,Male,50,0,NA,0,1,NA,2,5,4,4,4,4,4,4,TRUE
ngfp7q9ayoygg7u85oqq6uj7,PJ,female,Female,30,0,NA,0,1,NA,2,2,6,6,7,2,2,1,TRUE
8phnxtqku4vsqv0nabthee76,WJ,female,Female,29,0,NA,0,1,NA,3,3,3,3,3,5,5,3,TRUE
vz49g5utq6md6384mvemsht4,WJ,female,Female,26,0,NA,0,0,1,NA,7,2,2,2,4,4,4,TRUE
5xbfhd4uopmbs3imaeodqx4w,WJ,male,Male,28,0,NA,0,1,NA,1,4,4,7,7,7,7,7,TRUE
q1r5e7pn5cpxksdjusfiqz2v,PJ,male,male,31,0,NA,0,1,NA,2,4,6,6,6,2,2,2,TRUE
km1skhrwsleonhp1s0086pl3,WJ,male,Male,31,0,NA,0,1,NA,1,3,5,6,3,6,6,6,TRUE
i2fqta34zmxbgefyxju9od1q,WJ,female,Female,27,0,NA,0,1,NA,1,4,5,5,1,6,6,6,TRUE
r0casywegaua2af1ydyiwayw,WJ,female,female,53,0,NA,0,1,NA,1,3,6,4,5,5,6,4,TRUE
ul87aslj7fkvwvlbsfp2rk12,PJ,female,FEMALE,68,0,NA,0,0,2,NA,4,4,3,3,4,5,3,TRUE
72x9qpw1x7yhe8xh4rijgpqr,PJ,male,male,56,0,NA,0,1,NA,2,3,7,7,7,4,2,1,TRUE
vto2i9h7sxhq206w1a3ytkvj,PJ,male,Male,64,0,NA,0,0,2,NA,4,5,4,2,3,2,2,TRUE
