id,age,highest_education_level,sex,employment_status,nationality,country_of_birth,first_language,socioeconomic_status,current_country_of_residence,student_status
33q4r17hv79gzt9eh2a1mxus,28,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
9beh11fzrx9wo8jpiqkfzk4d,39,Secondary school/GCSE,Male,Part-Time,United Kingdom,United Kingdom,English,2,NA,No
y1qeabn7a41ukrdcwye19xc3,51,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
xssubv9lqg8rrfnikziqeoqg,30,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
fibjr6c8ohegzodh0xkvk0wa,47,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
boek2bjg7lvsc6azl0dwfhnq,50,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
y4yiw95jsin2k18qfs4rhf7x,35,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
8disrgywgphx93rn9buz1pk3,44,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,Germany,English,1,United Kingdom,No
iiky40tpqx0brneuyzfbfmgv,41,Secondary school/GCSE,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
0nv0b4k9qgm1wu078gsnjvte,38,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
6r2tzqsqc1wb1mr5fesqj0bg,63,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
n39ydb35htny0rz9x4rdwse1,77,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
8mwghyclxpbtree6a7bql2a5,27,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
9n3fzk7kdi57vcvqsx5bd3jf,43,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
zh4upjha0yjqe9648mc44df5,29,No formal qualifications,Female,Part-Time,United Kingdom,United Kingdom,English,1,United Kingdom,No
wt8wn6td9yulxgopaslefpw7,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
s6yipp1gpyc5wwoa5u9zfcpn,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
h07pein32zuogse3sh3pag6y,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
qekgdzzvm0maeh2djyc7znms,32,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
vqs48o6ckm88r4675iulct6t,34,Graduate degree (MA/MSc/MPhil/other),Female,Full-Time,United Kingdom,United Kingdom,English,8,United Kingdom,No
ae7uvma0sv8f9gbfzoxj3itl,34,Graduate degree (MA/MSc/MPhil/other),Male,Full-Time,United Kingdom,United Kingdom,English,7,Switzerland,No
xpcxteadaxf2uv6dfd5pkvzj,30,Undergraduate degree (BA/BSc/other),Male,Full-Time,United Kingdom,United Kingdom,English,8,United Kingdom,No
e3y2avxmds2e0uuicbkmg41w,40,Graduate degree (MA/MSc/MPhil/other),Female,Full-Time,United Kingdom,Belarus,Russian,8,NA,No
w8dndur2f5y8a1s0axt8t9v0,31,Undergraduate degree (BA/BSc/other),Female,Full-Time,United Kingdom,Russian Federation,Russian,7,United Kingdom,No
6aa4fa8mqm44tzws1c68ea5z,34,Undergraduate degree (BA/BSc/other),Female,Full-Time,United Kingdom,United Kingdom,English,7,United Kingdom,No
6lwcygxayssr61o7cz8sddhs,26,Graduate degree (MA/MSc/MPhil/other),Female,Full-Time,United Kingdom,United Kingdom,English,8,NA,No
m4ctcgl0uwxyor0dw7zgvboa,47,Graduate degree (MA/MSc/MPhil/other),Female,Full-Time,United Kingdom,United Kingdom,English,7,United Kingdom,No
xeru295xlhb742htyum76l2o,34,Graduate degree (MA/MSc/MPhil/other),Female,Other,United Kingdom,United Kingdom,English,7,United Kingdom,No
3b99nhzhzhfhj9zqlxs4i2g1,51,Undergraduate degree (BA/BSc/other),Female,Part-Time,United Kingdom,United Kingdom,English,7,United Kingdom,No
yyef7j7mnhvoqf3158zyqcx5,58,Undergraduate degree (BA/BSc/other),Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,7,United Kingdom,No
ff6nxad3odx86ng50jtovndw,46,Undergraduate degree (BA/BSc/other),Female,Full-Time,United Kingdom,United Kingdom,English,7,United Kingdom,No
nc9btptijnoa60ojvo8dxj2p,27,Graduate degree (MA/MSc/MPhil/other),Female,Full-Time,United Kingdom,United Kingdom,English,7,United Kingdom,No
y7air2g0x9e19dijiw1t77rs,49,Doctorate degree (PhD/MD/other),Male,Full-Time,United Kingdom,United Kingdom,English,7,United Kingdom,No
eftdrybir5k6dyjwl2oyo9n2,62,Undergraduate degree (BA/BSc/other),Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,8,NA,No
rp1iw1tt1j83io4lznoemag1,38,Undergraduate degree (BA/BSc/other),Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,7,United Kingdom,No
gvvi97v83swbtnt5lw9urino,44,Doctorate degree (PhD/MD/other),Female,Full-Time,United Kingdom,United Kingdom,English,7,United Kingdom,No
vv7pnc7innfvw8m7pwhrypn6,32,Undergraduate degree (BA/BSc/other),Female,Full-Time,United Kingdom,United Kingdom,English,7,United Kingdom,No
